codigo,bairro,sexo,cep,codigo_unidade,situacao
42853,"Porto Seguro",MASCULINO,13321-553,7,ATO_INFRACIONAL
26425,,MASCULINO,NULL,5,ATO_INFRACIONAL
42974,"NAIR MARIA",FEMININO,13322-290,4,VIOLENCIA_PSICOLOGICA
43222,"Nossa Senhora do Monte Serrat",MASCULINO,13323-311,7,ATO_INFRACIONAL
42277,"Bela Vista",FEMININO,13321-360,7,ABUSO_OU_E_VIOLENCIA_SEXUAL
42967,"Vila Teixeira",FEMININO,13320-360,3,ABUSO_OU_E_VIOLENCIA_SEXUAL
22926,"Jd. marilia",FEMININO,13321-571,7,OUTRA
43547,"Jardim Marília",FEMININO,13323-023,2,VIOLENCIA_PSICOLOGICA
43549,"Jardim Marília",MASCULINO,13323-023,2,VIOLENCIA_FISICA
43111,"Jd. Independência",FEMININO,13321-544,7,NEGLIGENCIA_CONTRA_IDOSO
43899,Estação,FEMININO,13323-161,2,VIOLENCIA_PSICOLOGICA
22760,"Jd Santo Antonio",MASCULINO,13321-472,7,VIOLENCIA_PSICOLOGICA
43546,"Vila Flora",FEMININO,13321-131,3,VIOLENCIA_PSICOLOGICA
43353,"Jardim da Cidade IV",MASCULINO,13323-060,7,NEGLIGENCIA_CONTRA_CRIANÇA
43354,"Jardim da Cidade IV",FEMININO,13323-060,7,NEGLIGENCIA_CONTRA_CRIANÇA
43111,"Jd. Independência",FEMININO,13321-544,7,NEGLIGENCIA_CONTRA_IDOSO
42974,"NAIR MARIA",FEMININO,13322-290,4,VIOLENCIA_FISICA
42568,"Vila Progresso",MASCULINO,13321-220,3,NEGLIGENCIA_CONTRA_IDOSO
34421,"Vila Teixeira",FEMININO,13320-360,7,VIOLENCIA_PSICOLOGICA
22891,"Vila Teixeira",FEMININO,13320-360,7,VIOLENCIA_PSICOLOGICA
42218,"Jardim Servilha",MASCULINO,13320-370,5,VIOLENCIA_FISICA
41319,"Jardim da Cidade III",FEMININO,13323-051,7,VIOLENCIA_FISICA
41319,"Jardim da Cidade III",FEMININO,13323-051,7,VIOLENCIA_PSICOLOGICA
41319,"Jardim da Cidade III",FEMININO,13323-051,7,OUTRA
2907,"Isaura Maria",FEMININO,13321-362,3,VIOLENCIA_PSICOLOGICA
27841,,MASCULINO,13324-473,7,ATO_INFRACIONAL
21348,,MASCULINO,13321-362,7,ATO_INFRACIONAL
44100,"Jardim Nair Maria ",MASCULINO,13322-276,4,ATO_INFRACIONAL
44771,"Parque Residencial Rondon",MASCULINO,13323-207,2,ATO_INFRACIONAL
27563,"Jardim Maria José",FEMININO,13321-001,7,ATO_INFRACIONAL
44956,"Bela Vista",MASCULINO,13321-362,3,ATO_INFRACIONAL
45116,"Residencial Parque Laguna ",FEMININO,13322-366,4,VIOLENCIA_PSICOLOGICA
45454,"Jardim Independência",FEMININO,13321-544,3,VIOLENCIA_PSICOLOGICA
45845,"S.Pedro E S.Paulo",MASCULINO,13324-470,7,ATO_INFRACIONAL
45443,"Vila Roma",FEMININO,13321-440,3,ABUSO_OU_E_VIOLENCIA_SEXUAL
45466,"Parque Residencial Rondon",MASCULINO,13323-207,2,NEGLIGENCIA_CONTRA_CRIANÇA
45466,"Parque Residencial Rondon",MASCULINO,13323-207,2,VIOLENCIA_FISICA
45591,"Residencial Parque Laguna ",FEMININO,13322-362,4,VIOLENCIA_FISICA
45776,"Jardim Elizabeth",FEMININO,13326-040,5,VIOLENCIA_FISICA
45779,"Jardim Elizabeth",FEMININO,13326-040,5,VIOLENCIA_FISICA
45780,"Jardim Elizabeth",FEMININO,13326-040,5,VIOLENCIA_FISICA
45221,"Jardim São João",FEMININO,13327-283,5,VIOLENCIA_FISICA
45222,"Jardim São João",MASCULINO,13327-283,5,VIOLENCIA_PSICOLOGICA
45223,"Jardim São João",MASCULINO,13327-283,5,VIOLENCIA_PSICOLOGICA
28959,,MASCULINO,13323-052,7,VIOLENCIA_FISICA
46519,"Vila Roma",FEMININO,13321-441,3,VIOLENCIA_PSICOLOGICA
21271,,MASCULINO,13327-220,7,ATO_INFRACIONAL
47128,"Jardim das Nações",MASCULINO,13322-184,4,ATO_INFRACIONAL
46013,"Jardim São João",MASCULINO,13327-285,5,ATO_INFRACIONAL
47489,Centro,FEMININO,13320-370,7,ABUSO_OU_E_VIOLENCIA_SEXUAL
22237,"Jardim da Cidade III",FEMININO,13323-051,7,VIOLENCIA_PATRIMONIAL_CONTRA_IDOSO_OU_PCD
47519,"Jardim Santa Cruz",MASCULINO,13323-560,2,ATO_INFRACIONAL
26630,"Jd. NaçõEs",MASCULINO,13322-030,7,NEGLIGENCIA_CONTRA_PCD
22184,"Arco iris",FEMININO,13323-441,7,VIOLENCIA_PSICOLOGICA
47494,"Bela Vista",MASCULINO,13321-370,3,VIOLENCIA_PSICOLOGICA
22913,"Pq. Marechal Rondon",FEMININO,13323-230,7,VIOLENCIA_FISICA
29936,"Pq. Marechal Rondon",MASCULINO,13323-230,7,VIOLENCIA_FISICA
29937,"Pq. Marechal Rondon",FEMININO,13323-230,7,VIOLENCIA_FISICA
47570,"Bela Vista",MASCULINO,13321-350,3,ATO_INFRACIONAL
37261,"SÃO PEDRO SÃO PAULO",MASCULINO,13324-470,6,ATO_INFRACIONAL
47664,Planalto,MASCULINO,13322-161,4,OUTRA
45714,"Terras de Santa Rosa",MASCULINO,13328-030,5,ATO_INFRACIONAL
32865,Buru,MASCULINO,13329-331,7,ATO_INFRACIONAL
42001,"Jardim Santo Inácio",MASCULINO,13321-490,3,ATO_INFRACIONAL
48152,"Vila Flora",FEMININO,13321-110,3,VIOLENCIA_PSICOLOGICA
2140,"Santo Antonio",FEMININO,13321-470,3,OUTRA
48969,"Bela Vista",FEMININO,13321-310,7,NEGLIGENCIA_CONTRA_PCD
22411,Centro,FEMININO,13320-220,7,OUTRA
28844,"SãO Pedro E SãO Paulo",FEMININO,13320-000,7,ATO_INFRACIONAL
7704,"Santa Cruz",FEMININO,13323-562,2,NEGLIGENCIA_CONTRA_IDOSO
51349,"São João",MASCULINO,13327-097,7,ATO_INFRACIONAL
23018,"Vila RomãO",MASCULINO,13321-080,7,VIOLENCIA_FISICA
36505,"Jardim Cidade Ii",MASCULINO,13323-073,7,ATO_INFRACIONAL
22743,"Jd Planalto",FEMININO,13322-232,7,NEGLIGENCIA_CONTRA_IDOSO
51947,"MARECHAL RONDON",MASCULINO,13323-223,2,NEGLIGENCIA_CONTRA_IDOSO
45776,"Jardim Elizabeth",FEMININO,13326-040,5,VIOLENCIA_FISICA
51914,"Salto de São José",FEMININO,13324-270,6,NEGLIGENCIA_CONTRA_PCD
25127,"Sta Efigênia",MASCULINO,13323-461,7,ATO_INFRACIONAL
28787,Rondon,FEMININO,13323-230,7,NEGLIGENCIA_CONTRA_IDOSO
28789,Rondon,MASCULINO,13323-230,7,NEGLIGENCIA_CONTRA_CRIANÇA
53166,"Jardim Planalto",FEMININO,13322-246,4,VIOLENCIA_PSICOLOGICA
25764,"Loteamento Terras de São Pedro e São Paulo",FEMININO,13324-465,6,VIOLENCIA_FISICA
52955,"Salto de São José",MASCULINO,13324-292,6,VIOLENCIA_PSICOLOGICA
52843,"Monte Serrat",FEMININO,13323-310,7,ABUSO_OU_E_VIOLENCIA_SEXUAL
52953,"Jardim Santa Cruz",MASCULINO,13323-601,2,NEGLIGENCIA_CONTRA_PCD
53143,"Salto de São José",FEMININO,13324-292,6,VIOLENCIA_FISICA
22670,Canjico,FEMININO,18800-000,7,VIOLENCIA_FISICA
53813,"Jardim Marília",FEMININO,13323-021,2,NEGLIGENCIA_CONTRA_IDOSO
53939,"PARQUE IMPERIAL",MASCULINO,13327-230,2,DISCRIMINACAO_POR_ORIENTACAO_SEXUAL
53813,"Jardim Marília",FEMININO,13323-021,2,NEGLIGENCIA_CONTRA_PCD
39837,"Vila Teixeira",FEMININO,13320-310,3,NEGLIGENCIA_CONTRA_CRIANÇA
21296,Nações,FEMININO,13323-000,7,VIOLENCIA_FISICA
53835,"Salto SÃO JosÉ",MASCULINO,13324-278,6,NEGLIGENCIA_CONTRA_CRIANÇA
54018,"Loteamento Alberto Cintra Filho",FEMININO,13321-420,3,NEGLIGENCIA_CONTRA_CRIANÇA
21296,Nações,FEMININO,13323-000,7,VIOLENCIA_FISICA
54144,"Jardim São João",MASCULINO,13327-286,5,ATO_INFRACIONAL
41160,NaçõEs,MASCULINO,13322-210,7,ATO_INFRACIONAL
22179,"Vila Norma",MASCULINO,13327-315,7,NEGLIGENCIA_CONTRA_IDOSO
22179,"Vila Norma",MASCULINO,13327-315,7,NEGLIGENCIA_CONTRA_PCD
54535,"Jardim Santa Cruz",FEMININO,13323-572,2,ABUSO_OU_E_VIOLENCIA_SEXUAL
54536,"Jardim Santa Cruz",FEMININO,13323-572,2,NEGLIGENCIA_CONTRA_CRIANÇA
28788,Rondon,FEMININO,13323-230,7,VIOLENCIA_FISICA
55169,"Vila Henrique",MASCULINO,13321-250,3,VIOLENCIA_FISICA
55235,"Santa Cruz",FEMININO,13323-572,7,NEGLIGENCIA_CONTRA_CRIANÇA
22759,"SÃO Joao",MASCULINO,13327-287,7,NEGLIGENCIA_CONTRA_IDOSO
55224,"Jardim Santa Cruz",FEMININO,13323-560,1,VIOLENCIA_PSICOLOGICA
55232,"Jardim Santa Cruz",MASCULINO,13323-560,2,NEGLIGENCIA_CONTRA_CRIANÇA
55233,"Jardim Santa Cruz",MASCULINO,13323-560,2,NEGLIGENCIA_CONTRA_CRIANÇA
22338,"JoãO Jabour",FEMININO,13329-050,7,OUTRA
3164,"Vila Roma",FEMININO,13321-440,3,TRAJETORIA_DE_RUA
